actors,weighted_average_vote,weighted_us_voters_rating,weighted_non_us_voters_rating,year,movies
Dionisie Vitcu,7.5,6.657007376185458,7.2857397928818,2012.0,1
Ditebogo Ledwaba,6.6,6.438988580750408,6.41876523151909,2019.0,1
Ditch Davey,6.6,6.054148740012293,6.348885530789573,2014.0,1
Disney James,8.0,6.413011152416358,7.065477439664218,2013.0,1
Dishita Sehgal,7.8,6.9834394904458605,7.461421925325063,2017.0,1
Disha Arora,6.8,6.178499278499279,6.476184869002061,2016.0,1
Dirkje van der Pijl,6.7,6.440143942423031,6.606568251891993,2013.0,1
Dirk Roofthooft,6.1,5.960079840319361,5.973730297723293,2015.0,1
Dirc Simpson,6.6,6.1906567366283,6.407156631669166,2018.0,1
Dipti Avlani,7.6,6.85750452079566,7.368986097969285,2011.0,1
Diplo,6.6,6.556361822829,6.483583345303812,2019.0,1
Diora Baird,5.8,5.9,5.7,2012.0,1
Dionysio Basco,5.1,5.626619488296135,5.186071238702818,2017.0,1
Dominique Dawes,6.1,5.969751966122202,5.9373433583959905,2015.0,1
Dominique DuVernay,4.7,5.165955594253374,4.77979731938542,2012.0,1
Dominique Frot,7.5,7.112474906796673,7.2260335652885805,2010.0,1
Dontez James,6.9,6.795690936106984,6.6934211801182055,2017.0,1
Dorian Brown Pham,7.3,7.1748761819000455,6.918770226537216,2019.0,1
Dorian Boguta,7.7,7.051083957430036,7.2705392751864055,2016.0,1
Dori Lumpkin,6.6,6.628863595945226,6.478486527187651,2017.0,1
Dori Hana Scherer,6.7,6.649598930481283,6.538662850132896,2011.0,1
Doreen Donovan Corkin,5.4,5.616686114352392,5.361349693251533,2015.0,1
Doralynn Mui,6.1,6.064887640449438,6.072291493488501,2018.0,1
Doraid Liddawi,7.5,6.820016999575011,7.276480814603254,2013.0,1
Dorah Fine,7.9,6.318914845516202,7.007547169811321,2018.0,1
Dora Madison,5.2,5.6517450682852814,5.148367952522255,2014.0,1
Dora Lipovcan,3.0,4.348328131966117,3.572915164623889,2011.0,1
Dora Fajn,5.8,5.938187702265373,5.775369458128079,2013.0,1
Donzaleigh Abernathy,5.9,6.026090169992609,5.7,2016.0,1
Donovan St V. Williams,5.5,5.7469593801361825,5.438236043843998,2019.0,1
Dorian Kingi,5.1,5.627689787001639,5.203784570596797,2016.0,1
Donovan Christie Jr.,5.8,5.847214353163361,5.7,2020.0,1
Donny Lucas,6.6,6.230451000339099,6.411041921494496,2018.0,1
Donny Boaz,7.2,6.617301658449126,6.580509841884479,2015.0,1
Donny Alamsyah,7.6,7.8103058570275365,7.481546410776896,2011.0,1
Donnie Whirlwind Horse,7.4,7.102633118782914,7.06713724348712,2017.0,1
Donnie Wahlberg,5.2,5.082109296597026,5.1220175406407105,2011.0,1
Donnetta Lavinia Grays,6.6,6.200522258144741,6.514933837429111,2017.0,1
Donnelly Rhodes,5.2,5.695982361587457,5.15233949945593,2010.0,1
Donncha Crowley,5.3,5.604004160166406,5.351092093498531,2020.0,1
Donna Munshi,7.5,6.6466666666666665,6.976963456491015,2018.0,1
Donna Mills,6.6,6.556386292834891,6.583885984387309,2015.0,1
Donna Marie Sludds,7.0,6.834831460674157,6.5893527384144,2017.0,1
Dorian Burns,5.4,5.708071472581639,5.3847816871555745,2011.0,1
Dorian Lough,7.1,7.003119794033016,6.94061757719715,2015.0,1
Dominique Grund,7.3,7.230662176217126,7.177726962254625,2012.0,1
Doug Abrahams,5.9,5.743878894251865,5.883704065835574,2012.0,1
Doug Roberts,5.3,5.76418485237484,5.210213078618662,2011.0,1
Doug Nicholas,6.0,6.0556245839804745,5.96778350515464,2017.0,1
Doug Murray,8.1,8.15070618744508,7.9864938664537,2015.0,1
Doug Moe,6.7,6.46140350877193,6.339131309068972,2015.0,1
Doug McKeon,5.2,5.541157556270097,5.194191522762951,2015.0,1
Doug MacLeod,4.9,5.091093117408907,4.933597916929151,2015.0,1
Doug Jung,7.1,7.161847743147268,6.887176473102653,2016.0,1
Doug Jackson,6.3,6.27837954705151,6.291212653778558,2013.0,1
Doug Dawson,6.2,6.311971168912567,6.059041572803604,2018.0,1
Doug Cox,6.5,6.4252747252747255,6.2249562390597655,2017.0,1
Doug Burch,6.3,6.16491638404865,6.167409724938079,2018.0,1
Doug Benson,7.3,7.324642049736247,7.169786694060065,2017.0,1
Doudou Zhang,7.6,7.250234155479238,7.435610803076373,2011.0,1
Dorie Barton,7.2,7.0040537299112495,7.160844710120337,2011.0,1
Doua Moua,5.6,5.634183160013419,5.521753317380901,2015.0,1
Dotan Bonen,6.6,6.469156428314398,6.49163451182148,2015.0,1
Doru Ana,7.5,6.657007376185458,7.2857397928818,2012.0,1
Dorothée Tavernier,6.8,6.259385009609225,6.631443456941465,2018.0,1
Dorothy Carroll,6.4,6.141417691857059,6.272622741376163,2019.0,1
Dorothy Ann Gould,5.3,5.301308505284348,5.246485682409818,2016.0,1
Dorothi Fox,6.8,6.65017479607125,6.655914120707139,2014.0,1
Dorji Wangchuk,7.3,6.811708319068812,7.259127369335308,2015.0,1
Doris Zajer,6.8,6.552657172629385,6.569109947643979,2013.0,1
Doris Roberts,4.9,5.127790432801823,4.589254766031196,2012.0,1
Doris Hick,6.8,6.700277008310249,6.563386355315081,2018.0,1
Dorien Makhloghi,7.4,7.0509345258571265,7.272266999462673,2014.0,1
Donna Lynn Jones,6.0,6.121875000000001,5.8820386169735075,2018.0,1
Donna Goodhand,5.7,5.9,5.613817880337155,2012.0,1
Donna Bernard,7.0,7.001404979048558,6.872528101462879,2017.0,1
Don Battee,7.2,5.968965517241379,6.850593990216632,2016.0,1
Don Rickles,8.3,8.379335939760132,8.191805616102947,2010.0,1
Don Richard,4.7,5.416262261228704,4.823214285714285,2011.0,1
Don Omar,7.3,7.270236829797185,7.1908531007988294,2011.0,1
Don O. Knowlton,6.8,6.68508489146787,6.640187810275735,2017.0,1
Don Novello,4.8,5.156795329224781,4.935236664162284,2011.0,1
Don Mac,6.7,6.740785577998553,6.675712828483994,2010.0,1
Don Henderson Baker,5.8,5.9,5.7,2018.0,1
Don Halbert,6.2,6.2874380909500225,6.078941826796525,2010.0,1
Don Franklin,7.5,6.680920421860019,6.928170968637247,2012.0,1
Don Francks,6.4,6.409834284161913,6.235663735792408,2015.0,1
Don Chow,6.5,6.583041814041378,6.2950103950103955,2014.0,1
Don Brady,6.1,6.078836833602585,5.999066363865758,2013.0,1
Don A. King,6.2,6.142395587076438,6.11975605841759,2018.0,1
Donna Ann Ward,6.3,6.186169607285144,6.045541184479237,2012.0,1
Domonkos Pardanyi,6.6,6.385188696012797,6.593855816493718,2010.0,1
Domonique Brown,6.7,6.416858237547893,6.522443181818181,2017.0,1
Dominiquie Vandenberg,5.5,5.795556617295748,5.458286380415776,2019.0,1
Dominique Thorne,7.1,7.299121155053358,6.9248641775517275,2018.0,1
Dominique Sanda,6.2,5.865876152832675,5.995150720838794,2014.0,1
Dominique Provost-Chalkley,6.1,6.132705980761188,5.949212798374809,2012.0,1
Dominique Moore,7.2,6.769393839019543,7.125104853205512,2013.0,1
Dominique Moceanu,6.1,5.969751966122202,5.9373433583959905,2015.0,1
Dominique Maurin,7.9,7.240518256772674,7.603994773193952,2012.0,1
Dominique Madison,5.1,5.553057781526782,5.189855072463768,2018.0,1
Dominique Lavanant,6.6,5.987798845836769,6.343260188087774,2012.0,1
Dominique Lalonde,6.5,6.583041814041378,6.2950103950103955,2014.0,1
Don Robert Cass,5.2,5.137934468206174,5.211117040199218,2010.0,1
Don Stark,8.2,8.02889923081895,8.182008952345312,2018.0,1
Don Thai Theerathada,6.9,6.977447462839569,6.693194130618245,2010.0,1
Don Thompson,6.5,6.53953006219765,6.380501935879224,2013.0,1
Dongmei Xu,6.9,6.509222352481438,6.778370160145956,2010.0,1
